Title,Body,Link,Site ID
Sergio Busquets może stać się piłkarzem z największą liczbą zdobytych Pucharów Króla ,"Obecnie, oprócz Busiego, po siedem takich trofeów mają Gaínza, Messi i Piqué",http://fcbarca.com/108062-sergio-busquets-moze-stac-sie-pilkarzem-z-najwieksza-liczba-zdobytych-pucharow-krola.html,1
"Siedmiu zawodników Barçy, którzy potrzebują minut w Pucharze Króla",Pojedynek z Intercity może być szansą dla kilku rzadko występujących piłkarzy na pokazanie się trenerowi,http://fcbarca.com/108059-siedmiu-zawodnikow-barcy-ktorzy-potrzebuja-minut-w-pucharze-krola.html,1
Sport: Memphis Depay jest zmęczony swoją sytuacją w Barcelonie,"Holender, którego kontrakt wygasa po sezonie, może odejść z klubu już w najbliższych tygodniach",http://fcbarca.com/108060-sport-memphis-depay-jest-zmeczony-swoja-sytuacja-w-barcelonie.html,1
"Dwie remontady i dogrywka, czyli jak Barcelona zaczynała ostatnie edycje Pucharu Króla",Po tym jak zrezygnowano z dwumeczów w Copa del Rey Barça miała sporo kłopotów,http://fcbarca.com/108058-dwie-remontady-i-dogrywka-czyli-jak-barcelona-zaczynala-ostatnie-edycje-pucharu-krola.html,1
Gustavo Siviero: Nie chcemy być niczyim sparingpartnerem; musimy rywalizować,Konferencja prasowa trener CF Intercity,http://fcbarca.com/108057-gustavo-siviero-nie-chcemy-byc-niczyim-sparingpartnerem-musimy-rywalizowac.html,1
Winter heat records smashed all over Europe,"From Spain to Latvia, national and regional records for January are broken across the continent.",https://bbc.co.uk/news/world-europe-64158283,2
Russians point fingers after deadliest Ukraine attack,The deaths of dozens of Russian soldiers at Makiivka in Ukraine prompt recriminations in Russia.,https://bbc.co.uk/news/world-europe-64155859,2
China criticises 'political' Covid tourist rules,"As China opens its borders, countries around the world have announced testing for arrivals.",https://bbc.co.uk/news/world-asia-china-64155721,2
Pele given joyous send-off in Brazil,The footballing legend was laid to rest after a huge procession through the streets of Santos.,https://bbc.co.uk/news/world-latin-america-64155728,2
Podskórna tkanka tłuszczowa ma znaczenie dla zdrowia mózgu kobiet," Różnice anatomiczne i fizjologiczne pomiędzy kobietami a mężczyznami są czymś oczywistym. Jednakże ich znaczenie dla organizmu w dalszym ciągu potrafi nas zaskakiwać. Okazuje się bowiem, że zbierająca...",https://dzienniknaukowy.pl/aktualnosci/podskorna-tkanka-tluszczowa-ma-znaczenie-dla-zdrowia-mozgu-kobiet,3
Stłuszczona wątroba może oznaczać kłopoty z mózgiem," Jeśli kłopoty z wątrobą, to znaczy, że jej właściciel przesadzał z alkoholem - tak myśli wiele osób. I tak, alkohol niszczy wątrobę, ale nie tylko ta trucizna może się przyczynić do chorób wątroby. Gl...",https://dzienniknaukowy.pl/aktualnosci/stluszczona-watroba-moze-oznaczac-klopoty-z-mozgiem,3
"Naukowcy stworzyli stop mocniejszy od wszystkiego, co znamy na Ziemi"," Metaliczny stop wykonany z chromu, kobaltu i niklu (CrCoNi) okazał się być najbardziej wytrzymałym materiałem, jaki kiedykolwiek badano. Materiał ten jest nie tylko niezwykle plastyczny, co oznacza du...",https://dzienniknaukowy.pl/aktualnosci/naukowcy-stworzyli-stop-mocniejszy-od-wszystkiego-co-znamy-na-ziemi,3
"„Komórkowy klej” pomoże w regeneracji tkanek, leczeniu ran i odbudowie nerwów"," O tym jak ważna jest regeneracja tkanek i komórek naszego organizmu nie trzeba chyba nikogo przekonywać. Zależy od tego nie tylko jakość naszego życia, ale w ogóle nasze zdrowie, a w niektórych sytuac...",https://dzienniknaukowy.pl/aktualnosci/komorkowy-klej-pomoze-w-regeneracji-tkanek-leczeniu-ran-i-odbudowie-nerwow,3
Krakowski badacz odkrył dwa nowe gatunki niesporczaków. Jednego z nich nazwał na cześć Roberta Makłowicza," Niesporczaki to malutkie, ale wyjątkowo odporne na ekstremalne warunki stworzenia. Dr Daniel Stec z Instytutu Systematyki i Ewolucji Zwierząt PAN w Krakowie odkrył dwa nowe gatunki i korzystając z prz...",https://dzienniknaukowy.pl/aktualnosci/krakowski-badacz-odkryl-dwa-nowe-gatunki-niesporczakow-jednego-z-nich-nazwal-na-czesc-roberta-maklowicza,3
Ousmane Dembélé: Wieża Eiffla? W Barcelonie jest mi dobrze,"Jules Koundé: ""Nie czujemy presji""",http://fcbarca.com/108090-ousmane-dembele-wieza-eiffla-w-barcelonie-jest-mi-dobrze.html,1
Philips na rękawku koszulki pierwszego zespołu?,"Firma elektroniczna jest pierwszą opcją zarządu, mimo że nie zapłaci oczekiwanej kwoty",http://fcbarca.com/108086-philips-na-rekawku-koszulki-pierwszego-zespolu.html,1
TyC Sports: Mateu Lahoz ogłosił zakończenie kariery,Koniec pewnej ery,http://fcbarca.com/108088-tyc-sports-mateu-lahoz-oglosil-zakonczenie-kariery.html,1
Bilety na mecz Manchester United - FC Barcelona,Możliwy także nocleg w Manchesterze,http://fcbarca.com/108050-bilety-na-mecz-manchester-united-fc-barcelona.html,1
Złota Piłka FCBarca.com 2022: GŁOSOWANIE,,http://fcbarca.com/108035-zlota-pilka-fcbarcacom-2022-glosowanie.html,1
Putin orders 36-hour Ukraine Christmas ceasefire,Putin asks Kyiv to reciprocate with its own ceasefire order - but Ukraine rejects the request.,https://bbc.co.uk/news/world-64178912,2
Celebrity deaths spark fears over China Covid toll,News of public figures' deaths has sparked speculation about greater losses than officials have reported.,https://bbc.co.uk/news/world-asia-china-64173824,2
"Pope praises 'wise, tender' Benedict at solemn burial","Former Pope Benedict's funeral takes place at the Vatican, as Francis celebrates Mass with pilgrims.",https://bbc.co.uk/news/world-europe-64174160,2
"Amazon to axe 18,000 jobs as it cuts costs",Most of the job losses will come from human resources and retail including its shops.,https://bbc.co.uk/news/business-64171008,2
Odpowiednie nawodnienie może spowolnić procesy starzenia," Niewystarczające nawodnienie może wiązać się z poważnymi zagrożeniami dla zdrowia. Osoby, które pozostają dobrze nawodnione, wydają się być zdrowsze, rzadziej zapadają na choroby przewlekłe, takie jak...",https://dzienniknaukowy.pl/aktualnosci/odpowiednie-nawodnienie-moze-spowolnic-procesy-starzenia,3
Matematyka królową nauk? Dlaczego młodzi ludzie niechętnie wybierają kierunki ścisłe?," Dziś nikt nie ma wątpliwości, że z każdym rokiem rośnie rynkowe zapotrzebowanie na inżynierów. Wiele mówi się więc o kształceniu młodych ludzi pod kątem nauk ścisłych. Dlaczego jednak wciąż młodzież n...",https://dzienniknaukowy.pl/aktualnosci/matematyka-krolowa-nauk-dlaczego-mlodzi-ludzie-niechetnie-wybieraja-kierunki-scisle,3
Rusza „Miesiąc świadomości zaburzeń rytmu serca”," W styczniu 2023 roku Sekcja Rytmu Serca Polskiego Towarzystwa Kardiologicznego zainaugurowała „Miesiąc świadomości zaburzeń rytmu serca”. Kampania świadomościowa dotycząca: profilaktyki, diagnostyki i...",https://dzienniknaukowy.pl/aktualnosci/rusza-miesiac-swiadomosci-zaburzen-rytmu-serca,3
